Sport,Discipline,Code,Sports Governing Body,Year,Event_Count
Skating,Figure,FSK,ISU,1896,0
Ice Hockey,Ice Hockey,IHO,IIHF,1896,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1900,0
Aquatics,Diving,DIV,World Aquatics,1900,0
Aquatics,Marathon Swimming,OWS,World Aquatics,1900,0
Aquatics,Swimming,SWM,World Aquatics,1900,7
Aquatics,Water Polo,WPO,World Aquatics,1900,1
Archery,Archery,ARC,World Archery,1900,7
Athletics,Athletics,ATH,World Athletics,1900,23
Badminton,Badminton,BDM,BWF,1900,0
Baseball?and Softball,Baseball,BSB,WBSC,1900,0
Baseball?and Softball,Softball,SBL,WBSC,1900,0
Basketball,3x3,BK3,FIBA,1900,0
Basketball,Basketball,BKB,FIBA,1900,0
Basque Pelota,Basque Pelota,PEL,FIPV,1900,1
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1900,0
Breaking,Breaking,BKG,WDSF,1900,0
Canoeing,Sprint,CSP,ICF,1900,0
Canoeing,Slalom,CSL,ICF,1900,0
Cricket,Cricket,CKT,ICC,1900,1
Croquet,Croquet,CQT,WCF,1900,3
Cycling,BMX Freestyle,BMF,UCI,1900,0
Cycling,BMX Racing,BMX,UCI,1900,0
Cycling,Mountain Bike,MTB,UCI,1900,0
Cycling,Road,CRD,UCI,1900,0
Cycling,Track,CTR,UCI,1900,3
Equestrian,Dressage,EDR,FEI,1900,0
Equestrian,Eventing,EVE,FEI,1900,0
Equestrian,Jumping,EJP,FEI,1900,3
Equestrian,Vaulting,EVL,FEI,1900,0
Equestrian,Driving,EDV,FEI,1900,2
Fencing,Fencing,FEN,FIE,1900,7
Field hockey,Field hockey,HOC,FIH,1900,0
Flag football,Flag football,AFB,IFAF,1900,0
Football,Football,FBL,FIFA,1900,1
Golf,Golf,GLF,IGF,1900,2
Gymnastics,Artistic,GAR,FIG,1900,1
Gymnastics,Rhythmic,GRY,FIG,1900,0
Gymnastics,Trampoline,GTR,FIG,1900,0
Handball,Indoor,HBL,IHF,1900,0
Handball,Field,HBL,IHF,1900,0
Jeu de Paume,Jeu de Paume,?,?,1900,0
Judo,Judo,JUD,IJF,1900,0
Karate,Karate,KTE,WKF,1900,0
Lacrosse,Sixes,LAX,WL,1900,0
Lacrosse,Field,LAX,WL,1900,0
Modern Pentathlon,,MPN,UIPM,1900,0
Polo,Polo,POL,FIP,1900,1
Rackets,Rackets,RQT,?,1900,0
Roque,Roque,?,?,1900,0
Rowing,Coastal,ROC,World Rowing,1900,0
Rowing,Rowing,ROW,World Rowing,1900,5
Rugby,Sevens,RU7,World Rugby,1900,0
Rugby,Union,RUG,World Rugby,1900,1
Sailing,Sailing,SAL,World Sailing,1900,13
Shooting,Shooting,SHO,ISSF,1900,8
Skateboarding,Skateboarding,SKB,World Skate,1900,0
Sport Climbing,Sport Climbing,CLB,IFSC,1900,0
Squash,Squash,SQU,WSF,1900,0
Surfing,Surfing,SRF,ISA,1900,0
Table Tennis,Table Tennis,TTE,ITTF,1900,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1900,0
Tennis,Tennis,TEN,ITF,1900,4
Triathlon,Triathlon,TRI,World Triathlon,1900,0
Tug of War,Tug of War,TOW,TWIF,1900,1
Volleyball,Beach,VBV,FIVB,1900,0
Volleyball,Indoor,VVO,FIVB,1900,0
Water Motorsports,,PBT,UIM,1900,0
Weightlifting,Weightlifting,WLF,IWF,1900,2
Wrestling,Freestyle,WRF,UWW,1900,0
Wrestling,Greco-Roman,WRG,UWW,1900,0
Skating,Figure,FSK,ISU,1900,0
Ice Hockey,Ice Hockey,IHO,IIHF,1900,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1904,0
Aquatics,Diving,DIV,World Aquatics,1904,2
Aquatics,Marathon Swimming,OWS,World Aquatics,1904,0
Aquatics,Swimming,SWM,World Aquatics,1904,9
Aquatics,Water Polo,WPO,World Aquatics,1904,1
Archery,Archery,ARC,World Archery,1904,6
Athletics,Athletics,ATH,World Athletics,1904,25
Badminton,Badminton,BDM,BWF,1904,0
Baseball?and Softball,Baseball,BSB,WBSC,1904,0
Baseball?and Softball,Softball,SBL,WBSC,1904,0
Basketball,3x3,BK3,FIBA,1904,0
Basketball,Basketball,BKB,FIBA,1904,0
Basque Pelota,Basque Pelota,PEL,FIPV,1904,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1904,7
Breaking,Breaking,BKG,WDSF,1904,0
Canoeing,Sprint,CSP,ICF,1904,0
Canoeing,Slalom,CSL,ICF,1904,0
Cricket,Cricket,CKT,ICC,1904,0
Croquet,Croquet,CQT,WCF,1904,0
Cycling,BMX Freestyle,BMF,UCI,1904,0
Cycling,BMX Racing,BMX,UCI,1904,0
Cycling,Mountain Bike,MTB,UCI,1904,0
Cycling,Road,CRD,UCI,1904,0
Cycling,Track,CTR,UCI,1904,7
Equestrian,Dressage,EDR,FEI,1904,0
Equestrian,Eventing,EVE,FEI,1904,0
Equestrian,Jumping,EJP,FEI,1904,0
Equestrian,Vaulting,EVL,FEI,1904,0
Equestrian,Driving,EDV,FEI,1904,0
Fencing,Fencing,FEN,FIE,1904,5
Field hockey,Field hockey,HOC,FIH,1904,0
Flag football,Flag football,AFB,IFAF,1904,0
Football,Football,FBL,FIFA,1904,1
Golf,Golf,GLF,IGF,1904,2
Gymnastics,Artistic,GAR,FIG,1904,11
Gymnastics,Rhythmic,GRY,FIG,1904,0
Gymnastics,Trampoline,GTR,FIG,1904,0
Handball,Indoor,HBL,IHF,1904,0
Handball,Field,HBL,IHF,1904,0
Jeu de Paume,Jeu de Paume,?,?,1904,0
Judo,Judo,JUD,IJF,1904,0
Karate,Karate,KTE,WKF,1904,0
Lacrosse,Sixes,LAX,WL,1904,0
Lacrosse,Field,LAX,WL,1904,1
Modern Pentathlon,,MPN,UIPM,1904,0
Polo,Polo,POL,FIP,1904,0
Rackets,Rackets,RQT,?,1904,0
Roque,Roque,?,?,1904,1
Rowing,Coastal,ROC,World Rowing,1904,0
Rowing,Rowing,ROW,World Rowing,1904,5
Rugby,Sevens,RU7,World Rugby,1904,0
Rugby,Union,RUG,World Rugby,1904,0
Sailing,Sailing,SAL,World Sailing,1904,0
Shooting,Shooting,SHO,ISSF,1904,0
Skateboarding,Skateboarding,SKB,World Skate,1904,0
Sport Climbing,Sport Climbing,CLB,IFSC,1904,0
Squash,Squash,SQU,WSF,1904,0
Surfing,Surfing,SRF,ISA,1904,0
Table Tennis,Table Tennis,TTE,ITTF,1904,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1904,0
Tennis,Tennis,TEN,ITF,1904,2
Triathlon,Triathlon,TRI,World Triathlon,1904,0
Tug of War,Tug of War,TOW,TWIF,1904,1
Volleyball,Beach,VBV,FIVB,1904,0
Volleyball,Indoor,VVO,FIVB,1904,0
Water Motorsports,,PBT,UIM,1904,0
Weightlifting,Weightlifting,WLF,IWF,1904,2
Wrestling,Freestyle,WRF,UWW,1904,7
Wrestling,Greco-Roman,WRG,UWW,1904,0
Skating,Figure,FSK,ISU,1904,0
Ice Hockey,Ice Hockey,IHO,IIHF,1904,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1908,0
Aquatics,Diving,DIV,World Aquatics,1908,2
Aquatics,Marathon Swimming,OWS,World Aquatics,1908,0
Aquatics,Swimming,SWM,World Aquatics,1908,6
Aquatics,Water Polo,WPO,World Aquatics,1908,1
Archery,Archery,ARC,World Archery,1908,3
Athletics,Athletics,ATH,World Athletics,1908,26
Badminton,Badminton,BDM,BWF,1908,0
Baseball?and Softball,Baseball,BSB,WBSC,1908,0
Baseball?and Softball,Softball,SBL,WBSC,1908,0
Basketball,3x3,BK3,FIBA,1908,0
Basketball,Basketball,BKB,FIBA,1908,0
Basque Pelota,Basque Pelota,PEL,FIPV,1908,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1908,5
Breaking,Breaking,BKG,WDSF,1908,0
Canoeing,Sprint,CSP,ICF,1908,0
Canoeing,Slalom,CSL,ICF,1908,0
Cricket,Cricket,CKT,ICC,1908,0
Croquet,Croquet,CQT,WCF,1908,0
Cycling,BMX Freestyle,BMF,UCI,1908,0
Cycling,BMX Racing,BMX,UCI,1908,0
Cycling,Mountain Bike,MTB,UCI,1908,0
Cycling,Road,CRD,UCI,1908,0
Cycling,Track,CTR,UCI,1908,7
Equestrian,Dressage,EDR,FEI,1908,0
Equestrian,Eventing,EVE,FEI,1908,0
Equestrian,Jumping,EJP,FEI,1908,0
Equestrian,Vaulting,EVL,FEI,1908,0
Equestrian,Driving,EDV,FEI,1908,0
Fencing,Fencing,FEN,FIE,1908,4
Field hockey,Field hockey,HOC,FIH,1908,1
Flag football,Flag football,AFB,IFAF,1908,0
Football,Football,FBL,FIFA,1908,1
Golf,Golf,GLF,IGF,1908,0
Gymnastics,Artistic,GAR,FIG,1908,2
Gymnastics,Rhythmic,GRY,FIG,1908,0
Gymnastics,Trampoline,GTR,FIG,1908,0
Handball,Indoor,HBL,IHF,1908,0
Handball,Field,HBL,IHF,1908,0
Jeu de Paume,Jeu de Paume,?,?,1908,1
Judo,Judo,JUD,IJF,1908,0
Karate,Karate,KTE,WKF,1908,0
Lacrosse,Sixes,LAX,WL,1908,0
Lacrosse,Field,LAX,WL,1908,1
Modern Pentathlon,,MPN,UIPM,1908,0
Polo,Polo,POL,FIP,1908,1
Rackets,Rackets,RQT,?,1908,2
Roque,Roque,?,?,1908,0
Rowing,Coastal,ROC,World Rowing,1908,0
Rowing,Rowing,ROW,World Rowing,1908,4
Rugby,Sevens,RU7,World Rugby,1908,0
Rugby,Union,RUG,World Rugby,1908,1
Sailing,Sailing,SAL,World Sailing,1908,4
Shooting,Shooting,SHO,ISSF,1908,15
Skateboarding,Skateboarding,SKB,World Skate,1908,0
Sport Climbing,Sport Climbing,CLB,IFSC,1908,0
Squash,Squash,SQU,WSF,1908,0
Surfing,Surfing,SRF,ISA,1908,0
Table Tennis,Table Tennis,TTE,ITTF,1908,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1908,0
Tennis,Tennis,TEN,ITF,1908,6
Triathlon,Triathlon,TRI,World Triathlon,1908,0
Tug of War,Tug of War,TOW,TWIF,1908,1
Volleyball,Beach,VBV,FIVB,1908,0
Volleyball,Indoor,VVO,FIVB,1908,0
Water Motorsports,,PBT,UIM,1908,3
Weightlifting,Weightlifting,WLF,IWF,1908,0
Wrestling,Freestyle,WRF,UWW,1908,5
Wrestling,Greco-Roman,WRG,UWW,1908,4
Skating,Figure,FSK,ISU,1908,4
Ice Hockey,Ice Hockey,IHO,IIHF,1908,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1912,0
Aquatics,Diving,DIV,World Aquatics,1912,4
Aquatics,Marathon Swimming,OWS,World Aquatics,1912,0
Aquatics,Swimming,SWM,World Aquatics,1912,9
Aquatics,Water Polo,WPO,World Aquatics,1912,1
Archery,Archery,ARC,World Archery,1912,0
Athletics,Athletics,ATH,World Athletics,1912,30
Badminton,Badminton,BDM,BWF,1912,0
Baseball?and Softball,Baseball,BSB,WBSC,1912,0
Baseball?and Softball,Softball,SBL,WBSC,1912,0
Basketball,3x3,BK3,FIBA,1912,0
Basketball,Basketball,BKB,FIBA,1912,0
Basque Pelota,Basque Pelota,PEL,FIPV,1912,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1912,0
Breaking,Breaking,BKG,WDSF,1912,0
Canoeing,Sprint,CSP,ICF,1912,0
Canoeing,Slalom,CSL,ICF,1912,0
Cricket,Cricket,CKT,ICC,1912,0
Croquet,Croquet,CQT,WCF,1912,0
Cycling,BMX Freestyle,BMF,UCI,1912,0
Cycling,BMX Racing,BMX,UCI,1912,0
Cycling,Mountain Bike,MTB,UCI,1912,0
Cycling,Road,CRD,UCI,1912,2
Cycling,Track,CTR,UCI,1912,0
Equestrian,Dressage,EDR,FEI,1912,1
Equestrian,Eventing,EVE,FEI,1912,2
Equestrian,Jumping,EJP,FEI,1912,2
Equestrian,Vaulting,EVL,FEI,1912,0
Equestrian,Driving,EDV,FEI,1912,0
Fencing,Fencing,FEN,FIE,1912,5
Field hockey,Field hockey,HOC,FIH,1912,0
Flag football,Flag football,AFB,IFAF,1912,0
Football,Football,FBL,FIFA,1912,1
Golf,Golf,GLF,IGF,1912,0
Gymnastics,Artistic,GAR,FIG,1912,4
Gymnastics,Rhythmic,GRY,FIG,1912,0
Gymnastics,Trampoline,GTR,FIG,1912,0
Handball,Indoor,HBL,IHF,1912,0
Handball,Field,HBL,IHF,1912,0
Jeu de Paume,Jeu de Paume,?,?,1912,0
Judo,Judo,JUD,IJF,1912,0
Karate,Karate,KTE,WKF,1912,0
Lacrosse,Sixes,LAX,WL,1912,0
Lacrosse,Field,LAX,WL,1912,0
Modern Pentathlon,,MPN,UIPM,1912,1
Polo,Polo,POL,FIP,1912,0
Rackets,Rackets,RQT,?,1912,0
Roque,Roque,?,?,1912,0
Rowing,Coastal,ROC,World Rowing,1912,0
Rowing,Rowing,ROW,World Rowing,1912,4
Rugby,Sevens,RU7,World Rugby,1912,0
Rugby,Union,RUG,World Rugby,1912,0
Sailing,Sailing,SAL,World Sailing,1912,4
Shooting,Shooting,SHO,ISSF,1912,18
Skateboarding,Skateboarding,SKB,World Skate,1912,0
Sport Climbing,Sport Climbing,CLB,IFSC,1912,0
Squash,Squash,SQU,WSF,1912,0
Surfing,Surfing,SRF,ISA,1912,0
Table Tennis,Table Tennis,TTE,ITTF,1912,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1912,0
Tennis,Tennis,TEN,ITF,1912,8
Triathlon,Triathlon,TRI,World Triathlon,1912,0
Tug of War,Tug of War,TOW,TWIF,1912,1
Volleyball,Beach,VBV,FIVB,1912,0
Volleyball,Indoor,VVO,FIVB,1912,0
Water Motorsports,,PBT,UIM,1912,0
Weightlifting,Weightlifting,WLF,IWF,1912,0
Wrestling,Freestyle,WRF,UWW,1912,0
Wrestling,Greco-Roman,WRG,UWW,1912,5
Skating,Figure,FSK,ISU,1912,0
Ice Hockey,Ice Hockey,IHO,IIHF,1912,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1920,0
Aquatics,Diving,DIV,World Aquatics,1920,5
Aquatics,Marathon Swimming,OWS,World Aquatics,1920,0
Aquatics,Swimming,SWM,World Aquatics,1920,10
Aquatics,Water Polo,WPO,World Aquatics,1920,1
Archery,Archery,ARC,World Archery,1920,10
Athletics,Athletics,ATH,World Athletics,1920,29
Badminton,Badminton,BDM,BWF,1920,0
Baseball?and Softball,Baseball,BSB,WBSC,1920,0
Baseball?and Softball,Softball,SBL,WBSC,1920,0
Basketball,3x3,BK3,FIBA,1920,0
Basketball,Basketball,BKB,FIBA,1920,0
Basque Pelota,Basque Pelota,PEL,FIPV,1920,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1920,8
Breaking,Breaking,BKG,WDSF,1920,0
Canoeing,Sprint,CSP,ICF,1920,0
Canoeing,Slalom,CSL,ICF,1920,0
Cricket,Cricket,CKT,ICC,1920,0
Croquet,Croquet,CQT,WCF,1920,0
Cycling,BMX Freestyle,BMF,UCI,1920,0
Cycling,BMX Racing,BMX,UCI,1920,0
Cycling,Mountain Bike,MTB,UCI,1920,0
Cycling,Road,CRD,UCI,1920,2
Cycling,Track,CTR,UCI,1920,4
Equestrian,Dressage,EDR,FEI,1920,1
Equestrian,Eventing,EVE,FEI,1920,2
Equestrian,Jumping,EJP,FEI,1920,2
Equestrian,Vaulting,EVL,FEI,1920,2
Equestrian,Driving,EDV,FEI,1920,0
Fencing,Fencing,FEN,FIE,1920,6
Field hockey,Field hockey,HOC,FIH,1920,1
Flag football,Flag football,AFB,IFAF,1920,0
Football,Football,FBL,FIFA,1920,1
Golf,Golf,GLF,IGF,1920,0
Gymnastics,Artistic,GAR,FIG,1920,4
Gymnastics,Rhythmic,GRY,FIG,1920,0
Gymnastics,Trampoline,GTR,FIG,1920,0
Handball,Indoor,HBL,IHF,1920,0
Handball,Field,HBL,IHF,1920,0
Jeu de Paume,Jeu de Paume,?,?,1920,0
Judo,Judo,JUD,IJF,1920,0
Karate,Karate,KTE,WKF,1920,0
Lacrosse,Sixes,LAX,WL,1920,0
Lacrosse,Field,LAX,WL,1920,0
Modern Pentathlon,,MPN,UIPM,1920,1
Polo,Polo,POL,FIP,1920,1
Rackets,Rackets,RQT,?,1920,0
Roque,Roque,?,?,1920,0
Rowing,Coastal,ROC,World Rowing,1920,0
Rowing,Rowing,ROW,World Rowing,1920,5
Rugby,Sevens,RU7,World Rugby,1920,0
Rugby,Union,RUG,World Rugby,1920,1
Sailing,Sailing,SAL,World Sailing,1920,14
Shooting,Shooting,SHO,ISSF,1920,21
Skateboarding,Skateboarding,SKB,World Skate,1920,0
Sport Climbing,Sport Climbing,CLB,IFSC,1920,0
Squash,Squash,SQU,WSF,1920,0
Surfing,Surfing,SRF,ISA,1920,0
Table Tennis,Table Tennis,TTE,ITTF,1920,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1920,0
Tennis,Tennis,TEN,ITF,1920,5
Triathlon,Triathlon,TRI,World Triathlon,1920,0
Tug of War,Tug of War,TOW,TWIF,1920,1
Volleyball,Beach,VBV,FIVB,1920,0
Volleyball,Indoor,VVO,FIVB,1920,0
Water Motorsports,,PBT,UIM,1920,0
Weightlifting,Weightlifting,WLF,IWF,1920,5
Wrestling,Freestyle,WRF,UWW,1920,5
Wrestling,Greco-Roman,WRG,UWW,1920,5
Skating,Figure,FSK,ISU,1920,3
Ice Hockey,Ice Hockey,IHO,IIHF,1920,1
Aquatics,Artistic Swimming,SWA,World Aquatics,1924,0
Aquatics,Diving,DIV,World Aquatics,1924,5
Aquatics,Marathon Swimming,OWS,World Aquatics,1924,0
Aquatics,Swimming,SWM,World Aquatics,1924,11
Aquatics,Water Polo,WPO,World Aquatics,1924,1
Archery,Archery,ARC,World Archery,1924,0
Athletics,Athletics,ATH,World Athletics,1924,27
Badminton,Badminton,BDM,BWF,1924,0
Baseball?and Softball,Baseball,BSB,WBSC,1924,0
Baseball?and Softball,Softball,SBL,WBSC,1924,0
Basketball,3x3,BK3,FIBA,1924,0
Basketball,Basketball,BKB,FIBA,1924,0
Basque Pelota,Basque Pelota,PEL,FIPV,1924,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1924,8
Breaking,Breaking,BKG,WDSF,1924,0
Canoeing,Sprint,CSP,ICF,1924,0
Canoeing,Slalom,CSL,ICF,1924,0
Cricket,Cricket,CKT,ICC,1924,0
Croquet,Croquet,CQT,WCF,1924,0
Cycling,BMX Freestyle,BMF,UCI,1924,0
Cycling,BMX Racing,BMX,UCI,1924,0
Cycling,Mountain Bike,MTB,UCI,1924,0
Cycling,Road,CRD,UCI,1924,2
Cycling,Track,CTR,UCI,1924,4
Equestrian,Dressage,EDR,FEI,1924,1
Equestrian,Eventing,EVE,FEI,1924,2
Equestrian,Jumping,EJP,FEI,1924,2
Equestrian,Vaulting,EVL,FEI,1924,0
Equestrian,Driving,EDV,FEI,1924,0
Fencing,Fencing,FEN,FIE,1924,7
Field hockey,Field hockey,HOC,FIH,1924,0
Flag football,Flag football,AFB,IFAF,1924,0
Football,Football,FBL,FIFA,1924,1
Golf,Golf,GLF,IGF,1924,0
Gymnastics,Artistic,GAR,FIG,1924,9
Gymnastics,Rhythmic,GRY,FIG,1924,0
Gymnastics,Trampoline,GTR,FIG,1924,0
Handball,Indoor,HBL,IHF,1924,0
Handball,Field,HBL,IHF,1924,0
Jeu de Paume,Jeu de Paume,?,?,1924,0
Judo,Judo,JUD,IJF,1924,0
Karate,Karate,KTE,WKF,1924,0
Lacrosse,Sixes,LAX,WL,1924,0
Lacrosse,Field,LAX,WL,1924,0
Modern Pentathlon,,MPN,UIPM,1924,1
Polo,Polo,POL,FIP,1924,1
Rackets,Rackets,RQT,?,1924,0
Roque,Roque,?,?,1924,0
Rowing,Coastal,ROC,World Rowing,1924,0
Rowing,Rowing,ROW,World Rowing,1924,7
Rugby,Sevens,RU7,World Rugby,1924,0
Rugby,Union,RUG,World Rugby,1924,1
Sailing,Sailing,SAL,World Sailing,1924,3
Shooting,Shooting,SHO,ISSF,1924,10
Skateboarding,Skateboarding,SKB,World Skate,1924,0
Sport Climbing,Sport Climbing,CLB,IFSC,1924,0
Squash,Squash,SQU,WSF,1924,0
Surfing,Surfing,SRF,ISA,1924,0
Table Tennis,Table Tennis,TTE,ITTF,1924,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1924,0
Tennis,Tennis,TEN,ITF,1924,5
Triathlon,Triathlon,TRI,World Triathlon,1924,0
Tug of War,Tug of War,TOW,TWIF,1924,0
Volleyball,Beach,VBV,FIVB,1924,0
Volleyball,Indoor,VVO,FIVB,1924,0
Water Motorsports,,PBT,UIM,1924,0
Weightlifting,Weightlifting,WLF,IWF,1924,5
Wrestling,Freestyle,WRF,UWW,1924,7
Wrestling,Greco-Roman,WRG,UWW,1924,6
Skating,Figure,FSK,ISU,1924,0
Ice Hockey,Ice Hockey,IHO,IIHF,1924,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1928,0
Aquatics,Diving,DIV,World Aquatics,1928,4
Aquatics,Marathon Swimming,OWS,World Aquatics,1928,0
Aquatics,Swimming,SWM,World Aquatics,1928,11
Aquatics,Water Polo,WPO,World Aquatics,1928,1
Archery,Archery,ARC,World Archery,1928,0
Athletics,Athletics,ATH,World Athletics,1928,27
Badminton,Badminton,BDM,BWF,1928,0
Baseball?and Softball,Baseball,BSB,WBSC,1928,0
Baseball?and Softball,Softball,SBL,WBSC,1928,0
Basketball,3x3,BK3,FIBA,1928,0
Basketball,Basketball,BKB,FIBA,1928,0
Basque Pelota,Basque Pelota,PEL,FIPV,1928,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1928,8
Breaking,Breaking,BKG,WDSF,1928,0
Canoeing,Sprint,CSP,ICF,1928,0
Canoeing,Slalom,CSL,ICF,1928,0
Cricket,Cricket,CKT,ICC,1928,0
Croquet,Croquet,CQT,WCF,1928,0
Cycling,BMX Freestyle,BMF,UCI,1928,0
Cycling,BMX Racing,BMX,UCI,1928,0
Cycling,Mountain Bike,MTB,UCI,1928,0
Cycling,Road,CRD,UCI,1928,2
Cycling,Track,CTR,UCI,1928,4
Equestrian,Dressage,EDR,FEI,1928,2
Equestrian,Eventing,EVE,FEI,1928,2
Equestrian,Jumping,EJP,FEI,1928,2
Equestrian,Vaulting,EVL,FEI,1928,0
Equestrian,Driving,EDV,FEI,1928,0
Fencing,Fencing,FEN,FIE,1928,7
Field hockey,Field hockey,HOC,FIH,1928,1
Flag football,Flag football,AFB,IFAF,1928,0
Football,Football,FBL,FIFA,1928,1
Golf,Golf,GLF,IGF,1928,0
Gymnastics,Artistic,GAR,FIG,1928,8
Gymnastics,Rhythmic,GRY,FIG,1928,0
Gymnastics,Trampoline,GTR,FIG,1928,0
Handball,Indoor,HBL,IHF,1928,0
Handball,Field,HBL,IHF,1928,0
Jeu de Paume,Jeu de Paume,?,?,1928,0
Judo,Judo,JUD,IJF,1928,0
Karate,Karate,KTE,WKF,1928,0
Lacrosse,Sixes,LAX,WL,1928,0
Lacrosse,Field,LAX,WL,1928,0
Modern Pentathlon,,MPN,UIPM,1928,1
Polo,Polo,POL,FIP,1928,0
Rackets,Rackets,RQT,?,1928,0
Roque,Roque,?,?,1928,0
Rowing,Coastal,ROC,World Rowing,1928,0
Rowing,Rowing,ROW,World Rowing,1928,7
Rugby,Sevens,RU7,World Rugby,1928,0
Rugby,Union,RUG,World Rugby,1928,0
Sailing,Sailing,SAL,World Sailing,1928,3
Shooting,Shooting,SHO,ISSF,1928,0
Skateboarding,Skateboarding,SKB,World Skate,1928,0
Sport Climbing,Sport Climbing,CLB,IFSC,1928,0
Squash,Squash,SQU,WSF,1928,0
Surfing,Surfing,SRF,ISA,1928,0
Table Tennis,Table Tennis,TTE,ITTF,1928,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1928,0
Tennis,Tennis,TEN,ITF,1928,0
Triathlon,Triathlon,TRI,World Triathlon,1928,0
Tug of War,Tug of War,TOW,TWIF,1928,0
Volleyball,Beach,VBV,FIVB,1928,0
Volleyball,Indoor,VVO,FIVB,1928,0
Water Motorsports,,PBT,UIM,1928,0
Weightlifting,Weightlifting,WLF,IWF,1928,5
