Rank,NOC,Gold,Silver,Bronze,Total,Year,Host_NOC,Host_Flag,Total_Events_Per_Year,Athlete_Count,Sport_Count,Historical_Total,Historical_Gold,Gold_Total,Total_Total
42,Armenia,1,3,0,4,2016,BRA,0,682,31.0,8.0,11.0,1.0,306,972
69,Armenia,0,2,2,4,2020,UNK,0,761,17.0,8.0,10.0,1.0,340,1080
66,Armenia,0,3,1,4,2024,FRA,0,738,15.0,7.0,12.0,1.0,328,1039
11,Australasia,1,2,2,5,1908,UNK,0,267,30.0,6.0,5.0,1.0,110,324
12,Australasia,2,2,3,7,1912,SWE,0,236,16.0,4.0,12.0,3.0,102,312
8,Australia,2,0,0,2,1896,GRE,0,107,1.0,2.0,2.0,2.0,43,122
9,Australia,2,0,3,5,1900,FRA,0,236,2.0,2.0,7.0,4.0,96,284
12,Australia,0,3,1,4,1904,USA,0,224,2.0,2.0,11.0,4.0,97,280
16,Australia,0,2,1,3,1920,BEL,0,363,13.0,5.0,12.0,2.0,155,438
11,Australia,3,1,2,6,1924,FRA,0,292,36.0,9.0,13.0,3.0,126,378
19,Australia,1,2,1,4,1928,NED,0,252,18.0,6.0,13.0,4.0,110,327
11,Australia,3,1,1,5,1932,USA,0,268,13.0,6.0,15.0,7.0,125,370
30,Australia,0,0,1,1,1936,GER,0,302,32.0,7.0,10.0,4.0,141,422
14,Australia,2,6,5,13,1948,UNK,0,312,73.0,11.0,19.0,5.0,138,411
9,Australia,6,2,3,11,1952,FIN,0,338,76.0,12.0,25.0,8.0,149,459
3,Australia,13,8,14,35,1956,AUS,1,342,288.0,19.0,59.0,21.0,153,469
5,Australia,8,8,6,22,1960,ITA,0,340,179.0,17.0,68.0,27.0,152,461
8,Australia,6,2,10,18,1964,JPN,0,370,233.0,19.0,75.0,27.0,163,504
9,Australia,5,7,5,17,1968,UNK,0,386,128.0,16.0,57.0,19.0,174,527
6,Australia,8,7,2,17,1972,GER,0,439,168.0,20.0,52.0,19.0,195,600
32,Australia,0,1,4,5,1976,CAN,0,444,180.0,20.0,39.0,13.0,198,613
15,Australia,2,2,5,9,1980,URS,0,454,120.0,17.0,31.0,10.0,204,631
14,Australia,4,8,12,24,1984,USA,0,492,242.0,22.0,38.0,6.0,226,688
15,Australia,3,6,5,14,1988,KOR,0,528,252.0,24.0,47.0,9.0,241,739
10,Australia,7,9,11,27,1992,ESP,0,573,278.0,25.0,65.0,14.0,260,815
7,Australia,9,9,23,41,1996,USA,0,604,412.0,26.0,82.0,19.0,271,842
4,Australia,16,25,17,58,2000,AUS,1,667,603.0,33.0,126.0,32.0,300,927
4,Australia,17,16,17,50,2004,GRE,0,669,460.0,32.0,149.0,42.0,301,926
6,Australia,14,15,17,46,2008,CHN,0,673,429.0,31.0,154.0,47.0,302,958
8,Australia,8,15,12,35,2012,UNK,0,670,398.0,28.0,131.0,39.0,303,960
10,Australia,8,11,10,29,2016,BRA,0,682,414.0,30.0,110.0,30.0,306,972
6,Australia,17,7,22,46,2020,UNK,0,761,489.0,41.0,110.0,33.0,340,1080
4,Australia,18,19,16,53,2024,FRA,0,738,474.0,44.0,128.0,43.0,328,1039
7,Austria,2,1,2,5,1896,GRE,0,107,3.0,3.0,5.0,2.0,43,122
16,Austria,0,3,3,6,1900,FRA,0,236,15.0,4.0,11.0,2.0,96,284
8,Austria,1,1,1,3,1904,USA,0,224,2.0,2.0,14.0,3.0,97,280
19,Austria,0,0,1,1,1908,UNK,0,267,7.0,4.0,10.0,1.0,110,324
17,Austria,0,2,2,4,1912,SWE,0,236,80.0,12.0,8.0,1.0,102,312
20,Austria,0,3,1,4,1924,FRA,0,292,49.0,8.0,9.0,0.0,126,378
18,Austria,2,0,1,3,1928,NED,0,252,73.0,13.0,11.0,2.0,110,327
18,Austria,1,1,3,5,1932,USA,0,268,19.0,7.0,12.0,3.0,125,370
10,Austria,5,7,5,17,1936,GER,0,302,233.0,18.0,25.0,8.0,141,422
21,Austria,1,0,3,4,1948,UNK,0,312,145.0,17.0,26.0,7.0,138,411
32,Austria,0,1,1,2,1952,FIN,0,338,110.0,16.0,23.0,6.0,149,459
34,Austria,0,0,2,2,1956,AUS,0,342,34.0,12.0,8.0,1.0,153,469
18,Austria,1,1,0,2,1960,ITA,0,340,96.0,15.0,6.0,1.0,152,461
32,Austria,0,2,2,4,1968,UNK,0,386,43.0,12.0,8.0,1.0,174,527
31,Austria,0,1,2,3,1972,GER,0,439,111.0,15.0,9.0,1.0,195,600
37,Austria,0,0,1,1,1976,CAN,0,444,60.0,15.0,8.0,0.0,198,613
21,Austria,1,2,1,4,1980,URS,0,454,83.0,16.0,8.0,1.0,204,631
22,Austria,1,1,1,3,1984,USA,0,492,102.0,18.0,8.0,2.0,226,688
29,Austria,1,0,0,1,1988,KOR,0,528,73.0,17.0,8.0,3.0,241,739
41,Austria,0,2,0,2,1992,ESP,0,573,102.0,17.0,6.0,2.0,260,815
57,Austria,0,1,2,3,1996,USA,0,604,70.0,15.0,6.0,1.0,271,842
32,Austria,2,1,0,3,2000,AUS,0,667,92.0,17.0,8.0,2.0,300,927
27,Austria,2,4,1,7,2004,GRE,0,669,70.0,17.0,13.0,4.0,301,926
64,Austria,0,1,2,3,2008,CHN,0,673,66.0,16.0,13.0,4.0,302,958
78,Austria,0,0,1,1,2016,BRA,0,682,67.0,22.0,11.0,2.0,306,972
53,Austria,1,1,5,7,2020,UNK,0,761,76.0,24.0,11.0,1.0,340,1080
36,Austria,2,0,3,5,2024,FRA,0,738,84.0,26.0,13.0,3.0,328,1039
61,Azerbaijan,0,1,0,1,1996,USA,0,604,23.0,9.0,1.0,0.0,271,842
34,Azerbaijan,2,0,1,3,2000,AUS,0,667,31.0,8.0,4.0,2.0,300,927
50,Azerbaijan,1,0,4,5,2004,GRE,0,669,36.0,10.0,9.0,3.0,301,926
40,Azerbaijan,1,1,4,6,2008,CHN,0,673,44.0,10.0,14.0,4.0,302,958
32,Azerbaijan,2,2,5,9,2012,UNK,0,670,52.0,15.0,20.0,4.0,303,960
39,Azerbaijan,1,7,10,18,2016,BRA,0,682,56.0,15.0,33.0,4.0,306,972
67,Azerbaijan,0,3,4,7,2020,UNK,0,761,44.0,14.0,34.0,3.0,340,1080
30,Azerbaijan,2,2,3,7,2024,FRA,0,738,48.0,15.0,32.0,3.0,328,1039
35,Bahamas,0,0,1,1,1956,AUS,0,342,2.0,2.0,1.0,0.0,153,469
24,Bahamas,1,0,0,1,1964,JPN,0,370,3.0,1.0,2.0,1.0,163,504
54,Bahamas,0,0,1,1,1992,ESP,0,573,14.0,4.0,3.0,1.0,260,815
61,Bahamas,0,1,0,1,1996,USA,0,604,26.0,4.0,3.0,1.0,271,842
34,Bahamas,2,0,1,3,2000,AUS,0,667,25.0,3.0,5.0,2.0,300,927
52,Bahamas,1,0,1,2,2004,GRE,0,669,22.0,3.0,6.0,3.0,301,926
68,Bahamas,0,1,1,2,2008,CHN,0,673,25.0,4.0,7.0,3.0,302,958
50,Bahamas,1,0,0,1,2012,UNK,0,670,21.0,2.0,5.0,2.0,303,960
51,Bahamas,1,0,1,2,2016,BRA,0,682,29.0,3.0,5.0,2.0,306,972
42,Bahamas,2,0,0,2,2020,UNK,0,761,16.0,2.0,5.0,4.0,340,1080
50,Bahrain,1,0,0,1,2012,UNK,0,670,12.0,3.0,1.0,1.0,303,960
48,Bahrain,1,1,0,2,2016,BRA,0,682,33.0,4.0,3.0,2.0,306,972
77,Bahrain,0,1,0,1,2020,UNK,0,761,32.0,5.0,4.0,2.0,340,1080
33,Bahrain,2,1,1,4,2024,FRA,0,738,14.0,5.0,7.0,3.0,328,1039
71,Barbados,0,0,1,1,2000,AUS,0,667,18.0,6.0,1.0,0.0,300,927
37,Belarus,1,6,8,15,1996,USA,0,604,157.0,19.0,15.0,1.0,271,842
23,Belarus,3,3,11,17,2000,AUS,0,667,139.0,20.0,32.0,4.0,300,927
26,Belarus,2,5,6,13,2004,GRE,0,669,151.0,22.0,45.0,6.0,301,926
24,Belarus,3,4,7,14,2008,CHN,0,673,175.0,24.0,44.0,8.0,302,958
28,Belarus,2,5,3,10,2012,UNK,0,670,160.0,23.0,37.0,7.0,303,960
40,Belarus,1,4,4,9,2016,BRA,0,682,120.0,22.0,33.0,6.0,306,972
45,Belarus,1,3,3,7,2020,UNK,0,761,103.0,20.0,26.0,4.0,340,1080
5,Belgium,6,7,4,17,1900,FRA,0,236,28.0,7.0,17.0,6.0,96,284
10,Belgium,1,5,2,8,1908,UNK,0,267,58.0,10.0,25.0,7.0,110,324
13,Belgium,2,1,3,6,1912,SWE,0,236,31.0,9.0,31.0,9.0,102,312
5,Belgium,14,11,11,36,1920,BEL,1,363,318.0,22.0,50.0,17.0,155,438
10,Belgium,3,7,3,13,1924,FRA,0,292,165.0,17.0,55.0,19.0,126,378
29,Belgium,0,1,2,3,1928,NED,0,252,182.0,15.0,52.0,17.0,110,327
26,Belgium,0,0,1,1,1932,USA,0,268,36.0,2.0,17.0,3.0,125,370
28,Belgium,0,0,3,3,1936,GER,0,302,147.0,14.0,7.0,0.0,141,422
15,Belgium,2,2,3,7,1948,UNK,0,312,140.0,17.0,11.0,2.0,138,411
14,Belgium,2,2,0,4,1952,FIN,0,338,131.0,16.0,14.0,4.0,149,459
28,Belgium,0,2,0,2,1956,AUS,0,342,57.0,13.0,13.0,4.0,153,469
26,Belgium,0,2,2,4,1960,ITA,0,340,98.0,16.0,10.0,2.0,152,461
20,Belgium,2,0,1,3,1964,JPN,0,370,61.0,13.0,9.0,2.0,163,504
36,Belgium,0,1,1,2,1968,UNK,0,386,82.0,13.0,9.0,2.0,174,527
29,Belgium,0,2,0,2,1972,GER,0,439,88.0,14.0,7.0,2.0,195,600
28,Belgium,0,3,3,6,1976,CAN,0,444,101.0,16.0,10.0,0.0,198,613
23,Belgium,1,0,0,1,1980,URS,0,454,59.0,10.0,9.0,1.0,204,631
21,Belgium,1,1,2,4,1984,USA,0,492,63.0,14.0,11.0,2.0,226,688
44,Belgium,0,0,2,2,1988,KOR,0,528,59.0,16.0,7.0,2.0,241,739
44,Belgium,0,1,2,3,1992,ESP,0,573,68.0,18.0,9.0,1.0,260,815
31,Belgium,2,2,2,6,1996,USA,0,604,61.0,14.0,11.0,2.0,271,842
55,Belgium,0,2,3,5,2000,AUS,0,667,68.0,16.0,14.0,2.0,300,927
51,Belgium,1,0,2,3,2004,GRE,0,669,50.0,14.0,14.0,3.0,301,926
37,Belgium,2,0,0,2,2008,CHN,0,673,94.0,16.0,10.0,3.0,302,958
64,Belgium,0,1,2,3,2012,UNK,0,670,111.0,16.0,8.0,3.0,303,960
35,Belgium,2,2,2,6,2016,BRA,0,682,104.0,19.0,11.0,4.0,306,972
29,Belgium,3,1,3,7,2020,UNK,0,761,130.0,25.0,16.0,5.0,340,1080
25,Belgium,3,1,6,10,2024,FRA,0,738,177.0,25.0,23.0,8.0,328,1039
37,Bermuda,0,0,1,1,1976,CAN,0,444,16.0,3.0,1.0,0.0,198,613
63,Bermuda,1,0,0,1,2020,UNK,0,761,2.0,2.0,2.0,1.0,340,1080
20,Bohemia,0,1,1,2,1900,FRA,0,236,7.0,4.0,2.0,0.0,96,284
17,Bohemia,0,0,2,2,1908,UNK,0,267,19.0,5.0,4.0,0.0,110,324
70,Botswana,0,1,0,1,2012,UNK,0,670,4.0,2.0,1.0,0.0,303,960
86,Botswana,0,0,1,1,2020,UNK,0,761,14.0,4.0,2.0,0.0,340,1080
55,Botswana,1,1,0,2,2024,FRA,0,738,14.0,2.0,4.0,1.0,328,1039
15,Brazil,1,1,1,3,1920,BEL,0,363,19.0,5.0,3.0,1.0,155,438
34,Brazil,0,0,1,1,1948,UNK,0,312,66.0,11.0,4.0,1.0,138,411
24,Brazil,1,0,2,3,1952,FIN,0,338,92.0,14.0,7.0,2.0,149,459
24,Brazil,1,0,0,1,1956,AUS,0,342,45.0,12.0,5.0,2.0,153,469
39,Brazil,0,0,2,2,1960,ITA,0,340,68.0,14.0,6.0,2.0,152,461
35,Brazil,0,0,1,1,1964,JPN,0,370,57.0,11.0,4.0,1.0,163,504
35,Brazil,0,1,2,3,1968,UNK,0,386,75.0,13.0,6.0,0.0,174,527
41,Brazil,0,0,2,2,1972,GER,0,439,80.0,13.0,6.0,0.0,195,600
36,Brazil,0,0,2,2,1976,CAN,0,444,79.0,12.0,7.0,0.0,198,613
17,Brazil,2,0,2,4,1980,URS,0,454,106.0,14.0,8.0,2.0,204,631
19,Brazil,1,5,2,8,1984,USA,0,492,147.0,17.0,14.0,3.0,226,688
24,Brazil,1,2,3,6,1988,KOR,0,528,157.0,21.0,18.0,4.0,241,739
25,Brazil,2,1,0,3,1992,ESP,0,573,181.0,23.0,17.0,4.0,260,815
25,Brazil,3,3,9,15,1996,USA,0,604,212.0,17.0,24.0,6.0,271,842
53,Brazil,0,6,6,12,2000,AUS,0,667,189.0,23.0,30.0,5.0,300,927
16,Brazil,5,2,3,10,2004,GRE,0,669,234.0,25.0,37.0,8.0,301,926
23,Brazil,3,4,10,17,2008,CHN,0,673,258.0,27.0,39.0,8.0,302,958
22,Brazil,3,5,9,17,2012,UNK,0,670,236.0,26.0,44.0,11.0,303,960
13,Brazil,7,6,6,19,2016,BRA,1,682,448.0,33.0,53.0,13.0,306,972
12,Brazil,7,6,8,21,2020,UNK,0,761,319.0,33.0,57.0,17.0,340,1080
20,Brazil,3,7,10,20,2024,FRA,0,738,289.0,38.0,60.0,17.0,328,1039
39,British West Indies,0,0,2,2,1960,ITA,0,340,0.0,0.0,2.0,0.0,152,461
40,Bulgaria,0,0,1,1,1952,FIN,0,338,63.0,8.0,1.0,0.0,149,459
19,Bulgaria,1,3,1,5,1956,AUS,0,342,46.0,7.0,6.0,1.0,153,469
15,Bulgaria,1,3,3,7,1960,ITA,0,340,97.0,12.0,13.0,2.0,152,461
11,Bulgaria,3,5,2,10,1964,JPN,0,370,63.0,9.0,22.0,5.0,163,504
18,Bulgaria,2,4,3,9,1968,UNK,0,386,112.0,13.0,26.0,6.0,174,527
9,Bulgaria,6,10,5,21,1972,GER,0,439,129.0,15.0,40.0,11.0,195,600
7,Bulgaria,6,9,7,22,1976,CAN,0,444,155.0,14.0,52.0,14.0,198,613
3,Bulgaria,8,16,17,41,1980,URS,0,454,270.0,20.0,84.0,20.0,204,631
7,Bulgaria,10,12,13,35,1988,KOR,0,528,172.0,16.0,98.0,24.0,241,739
18,Bulgaria,3,7,6,16,1992,ESP,0,573,134.0,19.0,92.0,21.0,260,815
22,Bulgaria,3,7,5,15,1996,USA,0,604,108.0,17.0,66.0,16.0,271,842
16,Bulgaria,5,6,2,13,2000,AUS,0,667,91.0,16.0,44.0,11.0,300,927
33,Bulgaria,2,1,9,12,2004,GRE,0,669,95.0,19.0,40.0,10.0,301,926
42,Bulgaria,1,1,3,5,2008,CHN,0,673,70.0,15.0,30.0,8.0,302,958
60,Bulgaria,0,2,1,3,2012,UNK,0,670,63.0,17.0,20.0,3.0,303,960
66,Bulgaria,0,1,2,3,2016,BRA,0,682,50.0,14.0,11.0,1.0,306,972
30,Bulgaria,3,1,2,6,2020,UNK,0,761,42.0,13.0,12.0,3.0,340,1080
26,Bulgaria,3,1,3,7,2024,FRA,0,738,46.0,16.0,16.0,6.0,328,1039
86,Burkina Faso,0,0,1,1,2020,UNK,0,761,7.0,5.0,1.0,0.0,340,1080
49,Burundi,1,0,0,1,1996,USA,0,604,7.0,1.0,1.0,1.0,271,842
69,Burundi,0,1,0,1,2016,BRA,0,682,9.0,3.0,2.0,1.0,306,972
84,Cabo Verde,0,0,1,1,2024,FRA,0,738,7.0,5.0,1.0,0.0,328,1039
39,Cameroon,0,1,0,1,1968,UNK,0,386,5.0,2.0,1.0,0.0,174,527
43,Cameroon,0,0,1,1,1984,USA,0,492,46.0,6.0,2.0,0.0,226,688
50,Cameroon,1,0,0,1,2000,AUS,0,667,34.0,4.0,3.0,1.0,300,927
54,Cameroon,1,0,0,1,2004,GRE,0,669,17.0,5.0,3.0,2.0,301,926
53,Cameroon,1,0,0,1,2008,CHN,0,673,32.0,9.0,3.0,3.0,302,958
79,Cameroon,0,0,1,1,2012,UNK,0,670,32.0,9.0,3.0,2.0,303,960
13,Canada,1,0,1,2,1900,FRA,0,236,4.0,1.0,2.0,1.0,96,284
3,Canada,4,1,1,6,1904,USA,0,224,9.0,3.0,8.0,5.0,97,280
7,Canada,3,3,10,16,1908,UNK,0,267,76.0,11.0,24.0,8.0,110,324
9,Canada,3,2,3,8,1912,SWE,0,236,28.0,7.0,30.0,10.0,102,312
12,Canada,3,3,3,9,1920,BEL,0,363,52.0,9.0,33.0,9.0,155,438
20,Canada,0,3,1,4,1924,FRA,0,292,65.0,8.0,21.0,6.0,126,378
10,Canada,4,4,7,15,1928,NED,0,252,69.0,8.0,28.0,7.0,110,327
13,Canada,2,5,9,16,1932,USA,0,268,90.0,10.0,35.0,6.0,125,370
17,Canada,1,3,5,9,1936,GER,0,302,96.0,11.0,40.0,7.0,141,422
25,Canada,0,1,2,3,1948,UNK,0,312,123.0,13.0,28.0,3.0,138,411
21,Canada,1,2,0,3,1952,FIN,0,338,97.0,13.0,15.0,2.0,149,459
15,Canada,2,1,3,6,1956,AUS,0,342,89.0,15.0,12.0,3.0,153,469
32,Canada,0,1,0,1,1960,ITA,0,340,75.0,14.0,10.0,3.0,152,461
22,Canada,1,2,1,4,1964,JPN,0,370,105.0,16.0,11.0,3.0,163,504
23,Canada,1,3,1,5,1968,UNK,0,386,139.0,14.0,10.0,2.0,174,527
27,Canada,0,2,3,5,1972,GER,0,439,207.0,18.0,14.0,2.0,195,600
27,Canada,0,5,6,11,1976,CAN,1,444,385.0,23.0,21.0,1.0,198,613
6,Canada,10,18,16,44,1984,USA,0,492,408.0,23.0,60.0,10.0,226,688
19,Canada,3,2,5,10,1988,KOR,0,528,328.0,23.0,65.0,13.0,241,739
11,Canada,7,4,7,18,1992,ESP,0,573,294.0,24.0,72.0,20.0,260,815
21,Canada,3,11,8,22,1996,USA,0,604,298.0,25.0,50.0,13.0,271,842
24,Canada,3,3,8,14,2000,AUS,0,667,288.0,28.0,54.0,13.0,300,927
21,Canada,3,6,3,12,2004,GRE,0,669,256.0,28.0,48.0,9.0,301,926
20,Canada,3,9,8,20,2008,CHN,0,673,332.0,30.0,46.0,9.0,302,958
27,Canada,2,6,10,18,2012,UNK,0,670,272.0,28.0,50.0,8.0,303,960
20,Canada,4,3,15,22,2016,BRA,0,682,301.0,30.0,60.0,9.0,306,972
11,Canada,7,7,10,24,2020,UNK,0,761,386.0,40.0,64.0,13.0,340,1080
12,Canada,9,7,11,27,2024,FRA,0,738,332.0,40.0,73.0,20.0,328,1039
28,Ceylon,0,1,0,1,1948,UNK,0,312,0.0,0.0,1.0,0.0,138,411
30,Chile,0,1,0,1,1928,NED,0,252,38.0,6.0,1.0,0.0,110,327
31,Chile,0,2,0,2,1952,FIN,0,338,59.0,9.0,3.0,0.0,149,459
27,Chile,0,2,2,4,1956,AUS,0,342,33.0,8.0,7.0,0.0,153,469
36,Chile,0,1,0,1,1988,KOR,0,528,17.0,6.0,7.0,0.0,241,739
71,Chile,0,0,1,1,2000,AUS,0,667,50.0,14.0,6.0,0.0,300,927
39,Chile,2,0,1,3,2004,GRE,0,669,22.0,11.0,5.0,2.0,301,926
72,Chile,0,1,0,1,2008,CHN,0,673,26.0,14.0,5.0,2.0,302,958
55,Chile,1,1,0,2,2024,FRA,0,738,48.0,22.0,6.0,3.0,328,1039
4,China,15,8,9,32,1984,USA,0,492,215.0,19.0,32.0,15.0,226,688
11,China,5,11,12,28,1988,KOR,0,528,270.0,25.0,60.0,20.0,241,739
4,China,16,22,16,54,1992,ESP,0,573,233.0,23.0,114.0,36.0,260,815
4,China,16,22,12,50,1996,USA,0,604,277.0,25.0,132.0,37.0,271,842
3,China,28,16,14,58,2000,AUS,0,667,252.0,27.0,162.0,60.0,300,927
2,China,32,17,14,63,2004,GRE,0,669,354.0,30.0,171.0,76.0,301,926
1,China,48,22,30,100,2008,CHN,1,673,567.0,34.0,221.0,108.0,302,958
2,China,39,31,22,92,2012,UNK,0,670,354.0,29.0,255.0,119.0,303,960
3,China,26,18,26,70,2016,BRA,0,682,378.0,32.0,262.0,113.0,306,972
2,China,38,32,19,89,2020,UNK,0,761,417.0,41.0,251.0,103.0,340,1080
2,China,40,27,24,91,2024,FRA,0,738,396.0,42.0,250.0,104.0,328,1039
43,Chinese Taipei,0,0,1,1,1984,USA,0,492,38.0,12.0,1.0,0.0,226,688
49,Chinese Taipei,0,1,0,1,1992,ESP,0,573,31.0,7.0,2.0,0.0,260,815
61,Chinese Taipei,0,1,0,1,1996,USA,0,604,73.0,14.0,3.0,0.0,271,842
58,Chinese Taipei,0,1,4,5,2000,AUS,0,667,53.0,14.0,7.0,0.0,300,927
31,Chinese Taipei,2,2,1,5,2004,GRE,0,669,88.0,14.0,11.0,2.0,301,926
44,Chinese Taipei,1,1,2,4,2008,CHN,0,673,79.0,15.0,14.0,3.0,302,958
48,Chinese Taipei,1,0,1,2,2012,UNK,0,670,44.0,14.0,11.0,4.0,303,960
50,Chinese Taipei,1,0,2,3,2016,BRA,0,682,55.0,18.0,9.0,3.0,306,972
34,Chinese Taipei,2,4,6,12,2020,UNK,0,761,68.0,18.0,17.0,4.0,340,1080
35,Chinese Taipei,2,0,5,7,2024,FRA,0,738,60.0,17.0,22.0,5.0,328,1039
31,Colombia,0,1,2,3,1972,GER,0,439,59.0,8.0,3.0,0.0,195,600
33,Colombia,0,1,0,1,1984,USA,0,492,39.0,8.0,4.0,0.0,226,688
46,Colombia,0,0,1,1,1988,KOR,0,528,40.0,10.0,5.0,0.0,241,739
54,Colombia,0,0,1,1,1992,ESP,0,573,49.0,11.0,3.0,0.0,260,815
50,Colombia,1,0,0,1,2000,AUS,0,667,44.0,13.0,3.0,1.0,300,927
68,Colombia,0,0,2,2,2004,GRE,0,669,53.0,15.0,4.0,1.0,301,926
60,Colombia,0,2,1,3,2008,CHN,0,673,67.0,16.0,6.0,1.0,302,958
38,Colombia,1,3,5,9,2012,UNK,0,670,101.0,19.0,14.0,1.0,303,960
22,Colombia,3,2,3,8,2016,BRA,0,682,143.0,21.0,20.0,4.0,306,972
66,Colombia,0,4,1,5,2020,UNK,0,761,69.0,20.0,22.0,4.0,340,1080
66,Colombia,0,3,1,4,2024,FRA,0,738,88.0,24.0,17.0,3.0,328,1039
36,Costa Rica,0,1,0,1,1988,KOR,0,528,16.0,6.0,1.0,0.0,241,739
49,Costa Rica,1,0,0,1,1996,USA,0,604,11.0,6.0,2.0,1.0,271,842
69,Costa Rica,0,0,2,2,2000,AUS,0,667,7.0,5.0,4.0,1.0,300,927
44,Croatia,0,1,2,3,1992,ESP,0,573,39.0,11.0,3.0,0.0,260,815
45,Croatia,1,1,0,2,1996,USA,0,604,84.0,14.0,5.0,1.0,271,842
49,Croatia,1,0,1,2,2000,AUS,0,667,88.0,12.0,7.0,2.0,300,927
44,Croatia,1,2,2,5,2004,GRE,0,669,81.0,14.0,9.0,3.0,301,926
59,Croatia,0,2,3,5,2008,CHN,0,673,99.0,15.0,12.0,2.0,302,958
26,Croatia,3,1,2,6,2012,UNK,0,670,107.0,17.0,16.0,4.0,303,960
17,Croatia,5,3,2,10,2016,BRA,0,682,85.0,18.0,21.0,8.0,306,972
26,Croatia,3,3,2,8,2020,UNK,0,761,60.0,17.0,24.0,11.0,340,1080
30,Croatia,2,2,3,7,2024,FRA,0,738,73.0,16.0,25.0,10.0,328,1039
12,Cuba,1,1,0,2,1900,FRA,0,236,1.0,1.0,2.0,1.0,96,284
4,Cuba,3,0,0,3,1904,USA,0,224,3.0,2.0,5.0,4.0,97,280
28,Cuba,0,1,0,1,1948,UNK,0,312,51.0,11.0,6.0,4.0,138,411
30,Cuba,0,1,0,1,1964,JPN,0,370,27.0,6.0,5.0,3.0,163,504
31,Cuba,0,4,0,4,1968,UNK,0,386,115.0,13.0,6.0,0.0,174,527
14,Cuba,3,1,4,8,1972,GER,0,439,137.0,14.0,13.0,3.0,195,600
8,Cuba,6,4,3,13,1976,CAN,0,444,156.0,14.0,25.0,9.0,198,613
4,Cuba,8,7,5,20,1980,URS,0,454,203.0,19.0,41.0,17.0,204,631
